Date;Value
2019-06-07;256.01
2019-06-14;260.15
2019-06-21;266.13
2019-06-28;264.26
2019-07-05;268.25
2019-07-12;279.44
2019-07-19;281.51
2019-07-26;281.37
2019-08-02;272.50
2019-08-09;273.94
2019-08-16;274.10
2019-08-23;274.01
2019-08-30;294.76
2019-09-06;303.76
2019-09-13;291.90
2019-09-20;287.83
2019-09-27;285.95
2019-10-04;291.67
2019-10-11;297.60
2019-10-18;302.86
2019-10-25;296.50
2019-11-01;296.09
2019-11-08;302.62
2019-11-15;303.66
2019-11-22;299.31
2019-11-29;299.81
2019-12-06;294.94
2019-12-13;291.87
2019-12-20;294.83
2019-12-27;294.11
2020-01-03;291.73
2020-01-10;297.24
2020-01-17;304.68
2020-01-24;310.51
2020-01-31;305.52
2020-02-07;313.63
2020-02-14;318.31
2020-02-21;321.95
2020-02-28;281.14
2020-03-06;311.34
2020-03-13;302.27
2020-03-20;290.42
2020-03-27;284.33
2020-04-03;288.65
2020-04-10;300.01
2020-04-17;317.92
2020-04-24;311.55
2020-05-01;301.92
2020-05-08;305.94
2020-05-15;299.21
2020-05-22;302.43
2020-05-29;308.47
2020-06-05;312.04
2020-06-12;298.70
2020-06-19;299.90
2020-06-26;296.56
2020-07-03;305.74
2020-07-10;326.23
2020-07-17;324.79
2020-07-24;325.78
2020-07-31;325.53
2020-08-07;336.54
2020-08-14;336.28
2020-08-21;344.61
2020-08-28;348.37
2020-09-04;346.57
2020-09-11;340.99
2020-09-18;335.96
2020-09-25;342.58
2020-10-02;355.01
2020-10-09;369.46
2020-10-16;381.54
2020-10-23;374.60
2020-10-30;357.62
2020-11-06;385.66
2020-11-13;378.84
2020-11-20;381.12
2020-11-27;388.39
2020-12-04;373.43
2020-12-11;375.10
2020-12-18;367.00
2020-12-25;364.58
2021-01-01;376.78
